age,job,marital,education,balance,contact,campaign,previous,poutcome,purchase_product,purchase_service
43,services,single,tertiary,23069,cellular,9,3,success,0,0
43,services,married,secondary,14873,unknown,4,7,failure,1,1
38,services,married,secondary,21248,telephone,25,3,success,0,1
56,blue-collar,married,tertiary,21624,cellular,23,9,failure,0,0
53,management,married,primary,41516,unknown,11,5,success,1,1
50,blue-collar,divorced,secondary,27061,telephone,6,1,success,1,1
47,services,single,tertiary,22170,unknown,15,4,success,0,1
54,technician,divorced,tertiary,6024,unknown,5,5,failure,0,0
40,admin,single,tertiary,14678,telephone,11,4,failure,0,0
27,management,single,tertiary,36256,cellular,25,1,success,1,0
22,management,married,primary,18411,unknown,18,6,unknown,0,1
53,blue-collar,divorced,tertiary,41803,unknown,13,3,failure,0,1
51,management,married,secondary,17296,cellular,11,7,failure,0,0
48,services,divorced,primary,24293,cellular,14,6,success,0,1
27,services,single,tertiary,25172,telephone,28,6,unknown,0,0
36,blue-collar,married,primary,19128,telephone,18,8,success,0,1
49,services,married,secondary,16257,telephone,27,0,failure,0,1
18,technician,single,tertiary,10855,cellular,28,9,failure,0,1
22,blue-collar,single,secondary,17642,unknown,25,5,success,1,1
62,technician,single,tertiary,33585,unknown,28,5,success,0,0
21,admin,married,tertiary,18025,telephone,19,5,unknown,1,0
33,technician,divorced,tertiary,2458,cellular,24,5,unknown,1,1
41,admin,married,tertiary,3307,unknown,27,9,failure,0,0
33,admin,divorced,tertiary,39701,telephone,15,6,unknown,0,0
19,technician,married,primary,16425,unknown,9,9,unknown,1,1
45,blue-collar,married,tertiary,47831,unknown,8,5,failure,0,0
49,services,single,tertiary,41427,cellular,20,0,failure,0,1
44,services,divorced,primary,26273,cellular,28,2,failure,0,1
37,admin,married,primary,36506,unknown,1,1,failure,0,1
41,admin,married,primary,3668,telephone,4,5,success,1,1
29,blue-collar,single,primary,23934,cellular,14,7,failure,1,1
52,management,single,primary,45195,unknown,25,2,failure,1,1
50,technician,divorced,primary,5697,cellular,2,9,failure,0,1
50,admin,married,tertiary,22417,cellular,16,7,unknown,0,0
60,services,divorced,tertiary,14446,cellular,3,7,failure,0,1
54,blue-collar,married,secondary,38597,unknown,26,4,success,0,1
29,technician,divorced,tertiary,8751,telephone,8,7,success,0,0
20,blue-collar,single,tertiary,44218,telephone,6,5,failure,0,0
18,technician,married,primary,5352,telephone,16,4,success,0,1
50,technician,divorced,primary,11516,cellular,24,8,unknown,0,0
57,admin,single,tertiary,21299,unknown,16,6,failure,0,1
27,blue-collar,single,secondary,29957,cellular,7,7,success,0,1
60,blue-collar,divorced,primary,26927,telephone,13,0,success,0,0
61,services,married,tertiary,39094,telephone,13,1,failure,0,1
46,services,married,tertiary,34412,unknown,5,7,success,0,0
30,admin,single,secondary,27493,cellular,25,8,failure,1,1
29,admin,married,secondary,24711,telephone,20,3,success,1,0
48,management,married,primary,6003,unknown,22,9,unknown,1,1
63,services,married,secondary,29707,cellular,18,9,success,0,0
19,technician,single,tertiary,1278,cellular,15,8,success,0,0
52,blue-collar,divorced,tertiary,5296,telephone,18,3,failure,0,0
40,admin,married,secondary,23398,telephone,2,9,success,1,0
34,blue-collar,single,secondary,33842,cellular,10,9,failure,0,0
43,blue-collar,single,secondary,11261,cellular,23,9,unknown,1,0
25,management,divorced,secondary,9173,telephone,13,8,failure,0,0
46,services,married,primary,28449,cellular,18,6,failure,1,1
43,admin,married,secondary,39080,telephone,15,1,success,1,1
27,blue-collar,divorced,primary,-363,cellular,12,8,unknown,0,1
43,admin,divorced,tertiary,29781,telephone,15,3,failure,0,1
51,technician,single,secondary,11652,unknown,13,7,success,0,0
58,management,single,primary,3103,telephone,18,6,success,0,0
24,technician,divorced,secondary,23500,telephone,15,6,failure,0,0
21,admin,married,tertiary,47796,unknown,25,7,success,0,1
62,admin,single,tertiary,32800,cellular,23,0,failure,0,1
28,services,single,tertiary,33529,unknown,11,4,failure,0,0
46,blue-collar,married,secondary,45963,telephone,19,1,failure,0,0
53,blue-collar,single,secondary,16452,cellular,3,1,unknown,0,0
42,technician,married,primary,47393,unknown,7,0,failure,0,1
38,management,married,tertiary,29174,cellular,21,4,success,0,1
53,blue-collar,married,secondary,33436,cellular,26,1,unknown,1,0
27,services,divorced,tertiary,45406,unknown,14,3,success,0,0
54,technician,divorced,tertiary,13954,cellular,14,2,unknown,1,1
26,technician,divorced,primary,15186,unknown,22,2,unknown,0,1
41,services,married,primary,10356,telephone,13,1,unknown,0,0
52,management,married,primary,30963,cellular,12,5,unknown,0,1
52,services,divorced,primary,187,telephone,24,1,success,0,0
53,management,single,tertiary,9707,telephone,9,7,failure,0,1
35,services,married,primary,33098,cellular,1,7,success,0,1
56,services,single,primary,24935,unknown,19,4,failure,0,0
49,admin,single,primary,19225,cellular,11,9,success,0,0
41,technician,married,primary,1606,telephone,23,6,unknown,0,1
40,services,married,tertiary,30828,telephone,22,3,unknown,1,0
49,services,single,primary,24489,unknown,23,0,failure,0,1
54,blue-collar,single,tertiary,12387,cellular,24,1,failure,0,1
29,technician,divorced,secondary,1927,telephone,22,9,success,1,1
30,blue-collar,divorced,tertiary,4296,telephone,19,9,failure,0,0
40,technician,married,tertiary,28444,telephone,18,3,success,1,0
42,blue-collar,divorced,primary,44390,unknown,12,0,failure,0,1
52,services,divorced,secondary,44893,telephone,23,7,failure,0,0
58,services,divorced,secondary,591,telephone,28,8,failure,1,1
47,admin,divorced,secondary,42895,cellular,28,3,unknown,0,1
34,blue-collar,single,secondary,46516,cellular,28,9,unknown,1,0
37,management,married,tertiary,24147,telephone,27,2,success,0,1
42,admin,divorced,secondary,36889,telephone,1,1,failure,0,0
39,blue-collar,single,tertiary,-800,cellular,19,4,success,1,0
30,blue-collar,single,tertiary,13721,unknown,28,2,failure,0,1
36,admin,single,tertiary,17238,unknown,27,9,unknown,1,1
53,services,divorced,secondary,9087,unknown,20,6,unknown,0,0
29,blue-collar,divorced,primary,28816,unknown,29,5,failure,0,1
58,services,married,primary,21408,unknown,17,0,failure,0,0
36,admin,divorced,secondary,37740,unknown,5,7,unknown,1,0
29,services,divorced,primary,-1864,unknown,26,1,unknown,0,0
26,technician,single,primary,15413,unknown,3,4,success,0,1
24,management,married,tertiary,46114,cellular,2,8,unknown,1,0
45,blue-collar,divorced,tertiary,16978,unknown,3,7,failure,1,0
31,management,divorced,secondary,-1339,unknown,8,1,success,0,0
48,services,single,secondary,33240,unknown,16,8,failure,0,1
36,blue-collar,single,primary,25253,telephone,6,4,success,0,0
64,services,divorced,tertiary,24884,cellular,13,9,failure,0,0
33,technician,married,secondary,30854,cellular,23,5,unknown,0,0
22,admin,married,secondary,8704,cellular,28,2,failure,0,1
52,blue-collar,single,secondary,36987,unknown,22,2,success,0,1
29,technician,single,secondary,22527,unknown,22,9,failure,1,0
42,technician,divorced,secondary,14322,telephone,16,7,success,1,1
38,blue-collar,single,secondary,45517,cellular,28,9,failure,0,0
53,services,divorced,primary,4968,unknown,16,9,unknown,0,1
40,technician,married,tertiary,25518,cellular,3,1,unknown,0,0
33,management,married,tertiary,49925,telephone,28,1,failure,0,0
56,technician,divorced,secondary,44364,telephone,13,4,failure,1,0
62,services,single,tertiary,25886,telephone,14,5,failure,0,1
59,services,married,tertiary,-300,cellular,8,1,success,0,1
56,management,single,tertiary,26246,unknown,12,4,failure,0,0
31,technician,married,secondary,33468,unknown,23,6,failure,0,1
48,services,divorced,secondary,21199,telephone,23,9,success,0,0
22,blue-collar,divorced,tertiary,42589,unknown,22,9,unknown,0,0
52,admin,divorced,tertiary,30115,telephone,21,7,failure,0,0
40,admin,married,secondary,48799,cellular,26,6,failure,0,1
46,admin,single,primary,3520,telephone,8,7,unknown,1,1
60,technician,single,tertiary,42278,cellular,21,8,unknown,1,0
28,management,single,primary,34455,telephone,25,4,success,0,0
35,services,married,tertiary,47748,unknown,9,4,failure,0,0
64,blue-collar,married,primary,18929,unknown,1,9,failure,0,0
29,blue-collar,married,primary,39605,telephone,6,3,success,0,0
26,technician,married,primary,12955,unknown,23,8,unknown,0,0
27,admin,married,secondary,42049,unknown,19,4,success,0,0
61,technician,single,primary,11917,unknown,23,1,unknown,0,0
34,management,married,primary,2757,cellular,11,9,success,0,0
55,management,married,primary,11045,unknown,11,7,unknown,0,0
24,services,single,tertiary,39680,cellular,23,6,success,0,0
63,services,married,primary,2733,telephone,13,7,unknown,1,1
30,management,single,tertiary,28954,unknown,11,2,unknown,0,0
57,management,single,primary,29135,unknown,18,3,unknown,0,1
59,management,divorced,primary,5081,unknown,23,4,unknown,0,0
26,technician,divorced,secondary,39458,telephone,15,5,unknown,1,0
44,management,divorced,tertiary,21501,cellular,1,0,failure,1,0
19,blue-collar,divorced,primary,19113,cellular,21,3,unknown,1,0
22,admin,married,tertiary,32441,unknown,25,9,failure,0,0
46,management,divorced,tertiary,45086,telephone,7,4,unknown,0,1
54,admin,single,secondary,22690,telephone,23,6,failure,1,0
55,technician,married,secondary,41939,telephone,27,4,failure,0,0
36,admin,divorced,secondary,27345,telephone,13,0,success,0,1
25,technician,single,secondary,44313,telephone,12,6,unknown,1,0
62,blue-collar,married,secondary,42571,cellular,18,7,success,0,1
18,technician,married,secondary,24829,cellular,24,6,success,0,0
39,technician,divorced,secondary,33062,cellular,19,3,unknown,0,1
34,services,married,secondary,1630,unknown,15,7,success,0,0
24,management,single,primary,45861,telephone,8,4,unknown,0,0
42,management,married,tertiary,29870,unknown,19,9,success,0,1
62,blue-collar,single,secondary,47298,telephone,10,8,unknown,1,0
21,blue-collar,married,secondary,45221,cellular,7,9,unknown,0,0
53,management,divorced,tertiary,42942,unknown,18,4,unknown,1,1
23,services,single,primary,1453,cellular,16,0,failure,0,0
48,management,married,tertiary,35275,telephone,20,8,success,0,0
36,services,married,tertiary,41370,telephone,27,4,failure,1,1
61,blue-collar,married,secondary,36396,telephone,6,5,success,1,0
56,admin,single,tertiary,6328,cellular,27,3,success,0,1
44,blue-collar,single,tertiary,13534,telephone,9,5,success,1,1
27,blue-collar,single,secondary,17744,cellular,21,7,failure,1,0
43,technician,divorced,secondary,17389,unknown,13,2,success,1,0
36,technician,divorced,secondary,34320,telephone,25,4,failure,0,0
56,technician,single,secondary,47170,telephone,21,1,unknown,1,0
20,technician,married,tertiary,33010,telephone,26,1,success,1,1
62,services,divorced,tertiary,12665,unknown,8,6,success,1,0
30,management,single,primary,35865,telephone,16,9,unknown,0,0
45,admin,married,primary,6640,cellular,13,9,unknown,0,1
37,blue-collar,divorced,tertiary,32716,cellular,13,9,success,0,1
45,services,married,primary,23521,telephone,17,5,unknown,0,0
25,admin,married,tertiary,28049,telephone,23,3,failure,1,0
58,services,married,primary,3618,unknown,20,4,failure,0,1
56,services,married,secondary,35004,unknown,5,0,success,0,1
18,blue-collar,divorced,primary,-80,unknown,22,6,failure,1,1
20,management,divorced,secondary,41937,telephone,21,7,failure,0,0
30,technician,divorced,secondary,2188,unknown,28,8,success,0,0
45,management,single,secondary,10207,unknown,17,7,unknown,0,0
42,blue-collar,divorced,secondary,-1762,cellular,28,4,success,0,0
50,blue-collar,married,primary,30972,unknown,9,2,failure,0,1
55,blue-collar,divorced,tertiary,8799,cellular,2,9,success,1,1
23,admin,married,secondary,3552,cellular,25,8,success,0,1
61,management,single,primary,26916,unknown,26,5,failure,0,0
62,management,married,secondary,2927,cellular,18,4,failure,0,1
49,services,married,primary,25964,telephone,9,2,success,0,1
62,services,married,primary,9164,telephone,6,5,failure,0,1
64,services,single,primary,35158,unknown,11,2,failure,0,0
38,blue-collar,divorced,tertiary,17071,telephone,25,9,failure,0,0
33,management,divorced,primary,46409,cellular,29,5,failure,1,1
38,blue-collar,single,primary,4160,telephone,6,3,failure,0,0
28,admin,married,tertiary,13810,unknown,6,1,failure,0,1
54,services,divorced,tertiary,3126,unknown,13,7,unknown,1,0
53,blue-collar,single,primary,28009,cellular,11,3,success,0,1
52,blue-collar,divorced,tertiary,31584,unknown,14,8,failure,0,1
36,admin,single,secondary,44182,telephone,2,6,success,0,1
37,technician,married,secondary,23396,unknown,8,1,unknown,0,0
35,management,divorced,tertiary,-1808,cellular,3,3,failure,0,1
64,technician,single,tertiary,48928,unknown,23,4,success,0,1
58,services,divorced,primary,34413,telephone,21,2,failure,0,0
31,blue-collar,divorced,tertiary,10816,cellular,3,8,failure,0,1
32,admin,divorced,primary,37082,telephone,1,4,failure,0,0
48,admin,divorced,secondary,48940,cellular,24,1,failure,0,0
18,management,single,tertiary,30130,unknown,19,2,failure,1,0
20,technician,married,primary,38142,cellular,18,8,failure,1,1
33,management,single,primary,34468,cellular,17,6,failure,1,0
40,blue-collar,single,secondary,28698,unknown,20,1,unknown,0,1
28,management,single,tertiary,8655,telephone,29,8,unknown,0,0
29,admin,married,secondary,45897,unknown,24,3,failure,0,0
27,admin,divorced,primary,28075,cellular,13,8,failure,0,1
49,services,divorced,primary,7359,unknown,3,1,unknown,0,1
33,services,divorced,tertiary,34661,cellular,1,9,unknown,0,1
25,blue-collar,married,primary,37579,unknown,4,3,unknown,0,0
55,technician,divorced,tertiary,40056,unknown,25,4,failure,0,0
29,management,married,secondary,49831,telephone,13,1,success,1,1
41,blue-collar,divorced,tertiary,31272,cellular,17,9,success,0,1
45,services,divorced,tertiary,40581,telephone,28,0,success,0,0
25,management,single,primary,12671,cellular,11,6,success,0,0
45,services,married,primary,25048,unknown,2,9,failure,0,1
53,management,single,tertiary,8738,cellular,25,0,success,0,0
43,technician,single,primary,23963,telephone,16,7,unknown,0,1
25,blue-collar,single,primary,41954,telephone,2,2,unknown,0,0
45,management,married,primary,4773,telephone,29,9,success,1,0
45,admin,married,tertiary,34584,cellular,19,5,unknown,1,1
54,admin,divorced,primary,27894,telephone,23,6,failure,1,0
58,management,single,tertiary,-1283,telephone,19,9,success,1,0
53,management,divorced,primary,9676,telephone,25,0,success,0,1
44,management,single,secondary,2434,unknown,16,5,failure,0,0
34,admin,married,primary,47810,unknown,22,6,unknown,0,0
26,admin,married,primary,35825,cellular,19,5,failure,0,1
50,management,married,tertiary,27100,cellular,9,3,failure,0,0
37,services,single,tertiary,2994,telephone,1,0,unknown,1,0
30,services,married,primary,2234,unknown,10,8,failure,0,0
45,technician,single,secondary,1764,telephone,19,3,unknown,0,0
46,blue-collar,divorced,primary,41949,telephone,1,6,unknown,0,1
30,services,single,primary,35405,unknown,2,6,failure,1,1
63,admin,divorced,secondary,32872,unknown,16,1,unknown,0,0
52,services,single,tertiary,40215,unknown,12,0,failure,1,1
23,technician,divorced,primary,21185,cellular,8,7,unknown,1,1
35,technician,married,tertiary,41442,cellular,23,7,success,1,0
22,blue-collar,divorced,tertiary,49759,telephone,18,6,unknown,1,1
64,services,married,secondary,39153,cellular,2,7,unknown,1,0
42,admin,married,secondary,9999,unknown,25,2,failure,0,1
19,admin,divorced,tertiary,34487,unknown,29,1,unknown,0,1
27,management,single,primary,581,cellular,13,6,success,0,0
47,admin,single,tertiary,49717,telephone,6,7,success,0,0
62,blue-collar,single,primary,763,telephone,21,0,unknown,1,0
22,blue-collar,single,primary,25374,cellular,26,9,unknown,0,0
50,admin,single,secondary,36759,telephone,6,8,success,1,0
18,admin,married,primary,8531,telephone,9,3,failure,0,1
35,management,single,primary,23307,telephone,16,3,success,0,0
49,admin,married,tertiary,28835,unknown,11,2,success,1,0
64,management,married,secondary,9064,unknown,7,5,unknown,0,1
28,management,married,primary,9312,cellular,10,0,unknown,0,0
38,admin,divorced,primary,35548,unknown,10,5,success,0,1
43,technician,divorced,secondary,34945,telephone,25,1,failure,0,1
42,technician,married,tertiary,45937,unknown,20,8,success,0,0
39,management,divorced,secondary,4476,cellular,18,1,success,0,0
44,admin,single,secondary,49756,unknown,28,6,failure,0,0
30,technician,single,primary,22565,telephone,24,0,success,1,1
50,admin,married,primary,382,telephone,20,6,success,1,0
51,admin,single,tertiary,47683,cellular,29,4,unknown,0,1
58,admin,married,primary,20463,unknown,9,7,failure,0,1
52,services,married,primary,43276,unknown,15,3,unknown,1,0
18,admin,single,secondary,31402,unknown,4,9,unknown,0,1
38,services,divorced,primary,24345,telephone,8,6,failure,0,0
23,management,single,tertiary,42764,cellular,9,5,failure,0,1
45,technician,single,secondary,24946,unknown,13,4,success,1,0
34,technician,married,tertiary,12162,telephone,9,3,unknown,0,1
22,technician,married,secondary,47154,telephone,26,6,failure,0,0
48,technician,married,primary,44773,telephone,4,4,unknown,0,1
22,technician,married,secondary,6397,unknown,17,4,unknown,0,0
55,technician,divorced,secondary,20335,unknown,16,0,failure,0,0
20,technician,divorced,primary,43095,unknown,15,1,success,0,0
40,management,divorced,primary,12394,unknown,3,4,unknown,1,0
54,admin,married,tertiary,25197,unknown,25,2,failure,1,1
54,blue-collar,married,tertiary,20010,unknown,20,1,success,0,1
27,services,married,primary,22123,unknown,5,3,unknown,0,0
27,blue-collar,divorced,primary,20387,unknown,23,3,failure,0,0
36,blue-collar,married,primary,890,unknown,5,3,unknown,1,0
34,admin,single,secondary,25769,telephone,20,3,failure,1,0
38,admin,single,secondary,41626,unknown,15,2,failure,0,0
31,admin,married,secondary,6026,cellular,18,6,unknown,0,0
26,technician,single,primary,1306,telephone,15,8,unknown,1,0
63,management,single,tertiary,31665,unknown,2,4,failure,0,0
18,technician,divorced,primary,7277,cellular,29,3,success,0,1
62,management,married,secondary,40239,unknown,13,1,unknown,0,0
30,management,married,secondary,45664,cellular,4,1,failure,0,0
21,blue-collar,divorced,primary,46008,cellular,10,4,failure,0,1
18,blue-collar,single,primary,12683,cellular,13,6,success,1,1
57,management,single,secondary,-1330,cellular,10,9,success,0,0
49,management,married,secondary,21675,telephone,29,9,success,0,1
51,technician,single,secondary,15889,telephone,9,8,unknown,0,1
45,technician,divorced,primary,42535,cellular,8,6,failure,0,0
48,blue-collar,divorced,secondary,11006,unknown,3,4,failure,0,0
25,admin,married,secondary,46536,cellular,16,9,failure,0,0
56,management,divorced,tertiary,24531,telephone,14,9,success,1,0
43,technician,divorced,primary,19639,unknown,9,9,failure,0,0
51,blue-collar,married,tertiary,14633,telephone,21,5,unknown,0,1
20,technician,divorced,tertiary,32660,telephone,11,2,success,0,0
29,management,divorced,secondary,1439,unknown,3,4,success,0,0
18,management,divorced,primary,30172,cellular,5,7,success,1,0
61,services,single,secondary,33622,cellular,29,0,success,0,0
22,admin,married,primary,9577,cellular,10,0,unknown,1,1
47,services,married,tertiary,9763,cellular,13,6,failure,0,0
47,blue-collar,married,primary,18176,unknown,4,4,unknown,1,1
34,technician,single,secondary,42386,unknown,24,4,failure,0,0
64,blue-collar,single,secondary,22255,unknown,13,0,unknown,0,0
40,management,married,secondary,39003,telephone,12,8,success,0,1
32,services,single,primary,17996,unknown,5,0,success,0,0
54,services,married,tertiary,33386,cellular,10,4,unknown,1,0
38,services,single,tertiary,19062,telephone,28,9,unknown,1,1
31,blue-collar,divorced,primary,33931,cellular,24,8,failure,0,0
19,management,divorced,secondary,33710,cellular,9,3,unknown,0,1
28,technician,married,tertiary,32693,unknown,20,7,unknown,0,1
56,technician,single,secondary,33740,unknown,7,5,failure,1,0
55,blue-collar,single,primary,9705,cellular,2,2,failure,0,0
51,services,divorced,secondary,41408,cellular,22,3,failure,0,0
55,admin,divorced,tertiary,26047,telephone,24,1,unknown,0,0
51,blue-collar,single,tertiary,8966,unknown,28,0,failure,1,1
35,blue-collar,single,secondary,15374,telephone,23,7,success,0,1
47,management,single,primary,9138,telephone,7,0,success,1,0
32,technician,single,secondary,48964,telephone,8,0,success,1,0
44,blue-collar,single,primary,13935,cellular,7,3,unknown,0,0
51,blue-collar,single,secondary,43913,telephone,21,9,success,0,0
55,services,married,tertiary,-1511,telephone,23,9,unknown,1,1
50,services,single,primary,42516,cellular,29,5,unknown,0,0
41,admin,divorced,primary,20260,unknown,14,8,success,1,1
32,management,married,primary,24069,unknown,26,0,failure,0,1
47,admin,single,tertiary,17275,telephone,19,6,unknown,0,1
59,services,divorced,secondary,34284,cellular,5,9,success,1,0
34,technician,married,tertiary,37178,unknown,23,4,unknown,0,1
22,services,divorced,primary,30821,telephone,25,7,failure,0,1
46,management,single,secondary,49727,telephone,18,6,failure,1,1
21,services,single,tertiary,14999,cellular,20,3,success,0,0
27,management,single,primary,36712,telephone,12,3,unknown,0,0
34,management,single,primary,38172,unknown,23,5,unknown,0,1
27,management,married,tertiary,31722,cellular,17,5,unknown,1,0
34,management,married,tertiary,8625,unknown,13,8,unknown,1,0
37,management,divorced,tertiary,-371,unknown,2,4,success,0,1
41,technician,single,primary,8973,unknown,25,7,failure,1,0
22,admin,divorced,tertiary,4859,telephone,13,4,success,1,0
51,blue-collar,married,primary,39609,telephone,26,1,unknown,0,0
23,admin,single,tertiary,41307,unknown,7,5,unknown,0,1
19,management,single,primary,43450,unknown,28,8,failure,0,0
30,technician,married,primary,34046,cellular,10,2,unknown,0,1
60,services,married,secondary,19839,cellular,23,0,success,1,0
60,technician,married,tertiary,25216,telephone,6,0,success,1,0
28,management,married,tertiary,16945,telephone,3,2,failure,0,1
64,technician,married,primary,4539,cellular,26,9,success,0,0
40,technician,single,primary,47522,unknown,3,4,success,0,1
33,management,married,primary,31625,telephone,18,2,success,0,0
48,technician,single,secondary,2886,unknown,11,8,success,0,0
28,blue-collar,single,secondary,43713,cellular,22,7,unknown,0,0
33,blue-collar,married,primary,5485,telephone,20,2,success,0,0
25,technician,married,tertiary,29455,telephone,5,8,failure,0,1
21,services,single,tertiary,44448,cellular,19,5,failure,1,1
57,management,married,secondary,14767,telephone,22,6,success,0,0
21,blue-collar,married,secondary,45165,cellular,27,3,failure,0,0
42,services,married,primary,26453,telephone,28,3,success,0,1
20,technician,divorced,tertiary,8744,cellular,19,1,failure,0,0
49,services,single,primary,35102,telephone,15,4,failure,0,0
20,admin,divorced,secondary,49877,unknown,16,7,success,0,1
44,blue-collar,married,tertiary,10226,unknown,24,6,success,1,1
46,technician,divorced,tertiary,25869,unknown,9,6,unknown,0,1
49,management,married,secondary,20588,telephone,4,5,success,1,1
36,technician,divorced,primary,11440,telephone,15,2,success,1,1
38,management,married,primary,29709,unknown,25,4,unknown,1,0
22,technician,divorced,tertiary,45788,unknown,12,0,success,0,0
35,services,divorced,secondary,20495,cellular,23,6,success,1,0
45,services,divorced,tertiary,35019,cellular,3,8,unknown,0,1
59,services,single,secondary,42948,cellular,23,0,success,0,1
39,admin,divorced,primary,46908,unknown,14,1,success,1,1
38,management,single,secondary,-1078,unknown,17,2,unknown,0,1
23,services,married,primary,25526,unknown,19,2,unknown,0,1
18,admin,divorced,secondary,5957,cellular,6,7,failure,0,1
22,management,married,tertiary,46564,telephone,4,6,success,0,0
58,technician,married,primary,31998,unknown,7,5,failure,0,1
29,admin,divorced,tertiary,41395,telephone,19,9,failure,0,0
43,blue-collar,single,tertiary,22031,telephone,17,9,unknown,1,0
63,admin,divorced,primary,8006,telephone,25,3,success,1,1
51,admin,married,primary,35701,cellular,16,8,success,1,1
31,management,married,tertiary,45063,telephone,15,0,unknown,0,0
43,technician,divorced,tertiary,23939,unknown,22,1,failure,0,0
62,blue-collar,single,tertiary,47145,cellular,8,3,unknown,1,1
44,services,single,tertiary,18324,unknown,19,2,success,1,1
26,services,married,primary,20867,unknown,8,0,unknown,0,1
43,admin,married,primary,-1797,cellular,18,4,success,0,0
64,management,single,tertiary,14544,unknown,28,6,failure,0,0
39,management,divorced,secondary,13899,unknown,16,1,success,0,0
64,services,married,secondary,27063,cellular,20,4,failure,0,0
47,blue-collar,single,primary,23344,unknown,19,5,failure,1,0
60,technician,married,tertiary,1748,telephone,10,6,success,0,1
34,blue-collar,divorced,tertiary,37486,unknown,17,0,success,0,0
43,technician,single,primary,49733,telephone,13,6,failure,0,0
53,services,married,secondary,-907,unknown,13,3,unknown,0,0
18,technician,divorced,secondary,13228,cellular,7,7,success,0,0
25,management,married,secondary,18884,cellular,27,3,failure,0,1
52,admin,divorced,primary,23183,unknown,10,5,failure,0,1
32,admin,divorced,secondary,14034,cellular,2,8,unknown,1,1
64,services,single,primary,3710,unknown,4,4,success,0,0
39,management,divorced,primary,40500,cellular,25,3,failure,0,0
31,blue-collar,married,tertiary,17259,telephone,6,7,unknown,0,0
43,management,divorced,secondary,33959,unknown,24,8,failure,1,0
45,admin,divorced,primary,48989,telephone,18,3,success,0,1
40,admin,single,secondary,31457,telephone,23,2,unknown,1,0
31,management,divorced,secondary,18143,unknown,6,7,failure,0,1
41,management,divorced,tertiary,103,telephone,29,4,unknown,1,0
19,admin,married,secondary,-1635,unknown,25,1,success,1,1
62,blue-collar,single,tertiary,44778,telephone,23,9,unknown,0,1
43,services,single,primary,42535,unknown,17,8,success,0,1
31,services,single,secondary,14103,unknown,14,2,failure,0,0
24,management,divorced,primary,30510,cellular,24,1,success,1,1
20,services,single,secondary,22476,unknown,11,0,failure,0,1
64,admin,divorced,primary,10742,unknown,26,7,failure,0,0
40,admin,divorced,secondary,10391,telephone,19,2,success,1,0
63,management,married,secondary,34940,unknown,2,6,failure,1,1
60,management,married,secondary,26901,cellular,28,0,unknown,0,1
64,management,married,secondary,30001,telephone,3,0,failure,0,0
62,blue-collar,married,secondary,13623,telephone,11,8,success,0,0
35,services,married,secondary,378,cellular,6,7,unknown,0,1
55,management,divorced,secondary,48357,telephone,29,2,unknown,0,0
52,technician,divorced,secondary,19372,telephone,14,5,failure,0,0
32,technician,single,secondary,42799,telephone,19,2,failure,0,0
42,admin,divorced,primary,36437,telephone,26,3,success,1,1
54,services,divorced,tertiary,33503,cellular,16,0,unknown,0,0
45,management,married,secondary,28746,cellular,21,4,success,0,1
27,technician,divorced,tertiary,25923,telephone,22,0,failure,0,0
56,services,married,secondary,7867,telephone,24,0,unknown,0,1
34,admin,single,secondary,39258,cellular,7,9,success,0,1
56,blue-collar,single,primary,31724,cellular,27,6,success,0,0
39,services,divorced,primary,7306,cellular,8,5,success,1,0
43,services,single,tertiary,37391,telephone,19,1,success,0,0
61,blue-collar,divorced,primary,12908,telephone,20,1,success,0,0
42,services,single,primary,25081,unknown,16,6,unknown,1,1
34,admin,married,tertiary,48626,cellular,22,0,success,0,0
30,admin,married,primary,35228,telephone,27,1,unknown,1,1
37,blue-collar,married,secondary,21386,cellular,7,7,success,0,0
42,management,married,tertiary,44754,telephone,9,5,failure,1,0
21,technician,divorced,tertiary,43406,cellular,13,1,failure,0,0
27,management,single,secondary,26302,telephone,1,6,success,1,0
20,services,divorced,primary,17212,unknown,29,3,failure,1,0
58,technician,married,tertiary,33618,unknown,8,1,unknown,0,1
62,blue-collar,divorced,tertiary,44067,cellular,24,5,success,0,0
35,blue-collar,single,secondary,8698,telephone,22,8,unknown,1,0
64,technician,divorced,secondary,2594,telephone,4,8,success,0,1
53,admin,single,primary,23525,cellular,3,7,failure,0,1
64,technician,divorced,tertiary,12282,telephone,27,2,unknown,0,0
39,services,single,primary,47053,cellular,3,2,failure,1,1
51,admin,single,primary,12334,telephone,22,1,failure,0,0
64,blue-collar,married,secondary,27179,cellular,13,4,success,0,1
25,technician,single,tertiary,4644,telephone,8,3,unknown,0,1
57,management,married,tertiary,33618,cellular,7,6,failure,1,1
61,management,married,tertiary,45701,telephone,27,3,success,1,1
36,services,married,secondary,30933,unknown,1,8,success,1,0
59,management,divorced,secondary,41469,telephone,27,1,success,0,1
58,technician,divorced,secondary,31687,cellular,16,5,failure,1,0
54,technician,divorced,secondary,39073,unknown,6,6,success,0,0
23,management,divorced,secondary,15375,telephone,7,3,unknown,0,0
43,technician,single,tertiary,46483,unknown,12,5,unknown,0,1
51,services,single,primary,28926,telephone,23,6,failure,0,1
62,admin,divorced,tertiary,34607,unknown,9,3,unknown,1,0
23,services,single,primary,15642,cellular,27,7,success,0,1
54,services,single,secondary,21993,telephone,11,8,failure,0,1
